"country_province","total_confirmed","total_deaths","total_recoveries"
"Italy",2,0,0
"US",37,0,0
"Russia",2,0,0
"Kiribati",0,0,0
"China",0,0,0
"Sweden",1,0,0
"Brazil",0,0,0
"UK",2,0,0
"Australia",41,0,4
"Germany",17,0,0
"Cambodia",5,0,0
"Singapore",53,0,0
"Sri Lanka",5,0,0
"Canada",12,0,0
"Finland",3,0,0
"South Korea",36,0,0
"Colombia",0,0,0
"Macau",46,0,0
"Mainland China",38340,905,838
"United Arab Emirates",12,0,0
"India",2,0,0
"France",30,0,0
"Vietnam",18,0,0
"Mexico",0,0,0
"Nepal",7,0,0
"Malaysia",38,0,0
"Taiwan",52,0,0
"Hong Kong",65,0,0
"Japan",55,0,6
"Ivory Coast",1,0,0
"Philippines",2,0,0
"Thailand",96,0,49
